fips,geo_name,state_abb,type,population_2020,n,lng,lat
55025,dane,WI,County,561504,319,-89.41786325,43.06746565
36007,broome,NY,County,198683,317,-75.8198592,42.16037158
17043,dupage,IL,County,932877,315,-88.08563421,41.85173736
17201,winnebago,IL,County,285350,315,-89.16084223,42.33630888
26045,eaton,MI,County,109175,299,-84.83740035,42.59599185
15003,honolulu,HI,County,1016508,295,-157.9746934,21.45879706
15009,maui,HI,County,164754,279,-156.5692176,20.86402572
12086,miami-dade,FL,County,2701767,260,-80.55914415,25.61511557
17031,cook,IL,County,5275541,259,-87.81698762,41.84005007
17111,mchenry,IL,County,310229,244,-88.45263983,42.32444631
17163,st. clair,IL,County,257400,244,-89.92848248,38.4703223
26077,kalamazoo,MI,County,261670,243,-85.53044157,42.24536002
15007,kauai,HI,County,73298,237,-159.5957496,22.03978487
17113,mclean,IL,County,170954,237,-88.84769482,40.49061752
21111,jefferson,KY,County,782969,237,-85.65772828,38.18834895
55133,waukesha,WI,County,406978,228,-88.30430125,43.01833546
26139,ottawa,MI,County,296200,225,-85.9964531,42.95990607
51059,fairfax,VA,County,1150309,214,-77.27651017,38.83620791
17119,madison,IL,County,265859,212,-89.90510951,38.83016798
37119,mecklenburg,NC,County,1115482,204,-80.83268027,35.24675454
51107,loudoun,VA,County,420959,202,-77.63575211,39.09048044
55059,kenosha,WI,County,169151,202,-88.04209555,42.57659172
39153,summit,OH,County,540428,200,-81.53219101,41.12587569
42003,allegheny,PA,County,1250578,200,-79.9817588,40.46880438
21067,fayette,KY,County,322570,197,-84.4589719,38.04287124
34039,union,NJ,County,575345,195,-74.30721513,40.65928966
55079,milwaukee,WI,County,939489,191,-87.96698811,43.00700658
49035,salt lake,UT,County,1185238,189,-111.9241028,40.66728813
05119,pulaski,AR,County,399125,188,-92.31191414,34.76993891
22033,east baton rouge,LA,County,456781,188,-91.0956724,30.53801719
26025,calhoun,MI,County,134310,187,-85.00508394,42.24636617
32003,clark,NV,County,2265461,186,-115.0146087,36.21511541
53033,king,WA,County,2269675,185,-121.8063614,47.49034831
29095,jackson,MO,County,717204,180,-94.34603332,39.00926211
34003,bergen,NJ,County,955732,178,-74.07441147,40.96008351
36083,rensselaer,NY,County,161130,178,-73.50952678,42.71103722
17037,dekalb,IL,County,100420,177,-88.76979995,41.8933691
24031,montgomery,MD,County,1062061,177,-77.20428439,39.13634899
34007,camden,NJ,County,523485,176,-74.96012063,39.80401748
17143,peoria,IL,County,181830,173,-89.75986508,40.78797055
26075,jackson,MI,County,160366,172,-84.42251355,42.24852059
26121,muskegon,MI,County,175824,172,-86.1519783,43.2913812
36067,onondaga,NY,County,476516,171,-76.19460186,43.0061269
34023,middlesex,NJ,County,863162,167,-74.41108832,40.43949114
06037,los angeles,CA,County,10014009,166,-118.224703,34.32134579
34013,essex,NJ,County,863728,164,-74.24718209,40.78746195
10003,new castle,DE,County,570719,159,-75.64791441,39.58150592
47189,wilson,TN,County,147737,159,-86.29778739,36.15428192
26021,berrien,MI,County,154316,156,-86.41252941,41.95468812
